"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Legacy Closing Rates"

"DESCRIPTION"
"The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only."

"LINK"
"https://www.bankofcanada.ca/?p=190915"

"SERIES"
"id","label","description"
"IEXE1601.CL","AUD_CLOSE","Australian dollar (close)"
"IEXE0301.CL","DKK_CLOSE","Danish krone (close)"
"EUROCAE01.CL","EUR_CLOSE","European Euro (close)"
"IEXE1401.CL","HKD_CLOSE","Hong Kong dollar (close)"
"IEXE0701.CL","JPY_CLOSE","Japanese yen (close)"
"IEXE2001.CL","MXN_CLOSE","Mexican peso (close)"
"IEXE1901.CL","NZD_CLOSE","New Zealand dollar (close)"
"IEXE0901.CL","NOK_CLOSE","Norwegian krone (close)"
"IEXE1001.CL","SEK_CLOSE","Swedish krona (close)"
"IEXE1101.CL","CHF_CLOSE","Swiss franc (close)"
"IEXE1201.CL","GBP_CLOSE","U.K. pound sterling (close)"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"
"IEXE0103","USD_HIGH","U.S. dollar (high)"
"IEXE0104","USD_LOW","U.S. dollar (low)"
"IEXE0106","USD_CLOSE_90_DAY","U.S. dollar closing,90-day"

"OBSERVATIONS"
"date","IEXE1601.CL","IEXE0301.CL","EUROCAE01.CL","IEXE1401.CL","IEXE0701.CL","IEXE2001.CL","IEXE1901.CL","IEXE0901.CL","IEXE1001.CL","IEXE1101.CL","IEXE1201.CL","IEXE0102","IEXE0103","IEXE0104","IEXE0106"
"2009-12-02","0.9721","0.2123","1.5802","0.135510","0.01202","0.08252","0.7585","0.1872","0.1527","1.0484","1.7470","1.0502","1.0516","1.0439","1.0503"
"2009-12-03","0.9764","0.2137","1.5899","0.136090","0.01196","0.08359","0.7629","0.1879","0.1537","1.0549","1.7466","1.0547","1.0585","1.0494","1.0548"
"2009-12-04","0.9674","0.2110","1.5705","0.136503","0.01169","0.08370","0.7569","0.1856","0.1513","1.0403","1.7400","1.0579","1.0596","1.0433","1.0580"
"2009-12-07","0.9596","0.2096","1.5596","0.135855","0.01176","0.08290","0.7499","0.1841","0.1492","1.0322","1.7311","1.0529","1.0598","1.0482","1.0530"
"2009-12-08","0.9622","0.2102","1.5643","0.137270","0.01204","0.08236","0.7524","0.1836","0.1489","1.0358","1.7333","1.0639","1.0672","1.0540","1.0640"
"2009-12-09","0.9589","0.2087","1.5533","0.136054","0.01200","0.08163","0.7591","0.1835","0.1487","1.0274","1.7156","1.0545","1.0633","1.0516","1.0546"
"2009-12-10","0.9635","0.2079","1.5472","0.135527","0.01191","0.08119","0.7648","0.1833","0.1481","1.0236","1.7094","1.0504","1.0550","1.0479","1.0505"
"2009-12-11","0.9667","0.2083","1.5505","0.136758","0.01190","0.08226","0.7682","0.1835","0.1489","1.0249","1.7217","1.0599","1.0623","1.0483","1.0600"
"2009-12-14","0.9711","0.2086","1.5522","0.136657","0.01196","0.08310","0.7710","0.1835","0.1492","1.0264","1.7274","1.0593","1.0662","1.0570","1.0594"
"2009-12-15","0.9616","0.2073","1.5429","0.136905","0.01184","0.08360","0.7660","0.1825","0.1475","1.0202","1.7275","1.0614","1.0637","1.0582","1.0615"
"2009-12-16","0.9551","0.2071","1.5412","0.136786","0.01181","0.08342","0.7642","0.1841","0.1476","1.0212","1.7328","1.0605","1.0645","1.0571","1.0606"
"2009-12-17","0.9492","0.2063","1.5350","0.137996","0.01190","0.08309","0.7596","0.1823","0.1469","1.0221","1.7301","1.0703","1.0748","1.0670","1.0704"
"2009-12-18","0.9494","0.2054","1.5281","0.137422","0.01180","0.08304","0.7578","0.1824","0.1467","1.0221","1.7207","1.0660","1.0701","1.0628","1.0661"
"2009-12-21","0.9361","0.2038","1.5163","0.136866","0.01164","0.08205","0.7488","0.1807","0.1455","1.0148","1.7035","1.0614","1.0634","1.0537","1.0615"
"2009-12-22","0.9270","0.2026","1.5077","0.136410","0.01152","0.08204","0.7428","0.1801","0.1445","1.0087","1.6899","1.0579","1.0620","1.0542","1.0580"
"2009-12-23","0.9218","0.2018","1.5018","0.135214","0.01144","0.08121","0.7379","0.1800","0.1441","1.0086","1.6730","1.0484","1.0533","1.0470","1.0485"
"2009-12-24","0.9283","0.2025","1.5071","0.135356","0.01146","0.08151","0.7410","0.1803","0.1438","1.0107","1.6745","1.0499","1.0507","1.0448","1.0500"
"2009-12-29","0.9331","0.2013","1.4979","0.134608","0.01134","0.08024","0.7497","0.1798","0.1447","1.0067","1.6596","1.0438","1.0445","1.0366","1.0439"
"2009-12-30","0.9424","0.2033","1.5130","0.136092","0.01141","0.08062","0.7610","0.1819","0.1474","1.0178","1.6963","1.0553","1.0579","1.0481","1.0553"
"2009-12-31","0.9441","0.2022","1.5046","0.135548","0.01129","0.08036","0.7626","0.1813","0.1468","1.0150","1.6986","1.0510","1.0534","1.0456","1.0510"
"2010-01-04","0.9503","0.2017","1.5008","0.134279","0.01125","0.08086","0.7644","0.1824","0.1474","1.0112","1.6769","1.0414","1.0427","1.0351","1.0415"
"2010-01-05","0.9473","0.2006","1.4928","0.133956","0.01133","0.08109","0.7626","0.1818","0.1460","1.0053","1.6619","1.0390","1.0409","1.0350","1.0391"
"2010-01-06","0.9501","0.2000","1.4880","0.133153","0.01118","0.08108","0.7622","0.1822","0.1461","1.0049","1.6542","1.0325","1.0397","1.0313","1.0326"
