date,rate
2009-12-04,1.057900
2009-12-07,1.052900
2009-12-08,1.063900
2009-12-09,1.054500
2009-12-10,1.050400
2009-12-11,1.059900
2009-12-14,1.059300
2009-12-15,1.061400
2009-12-16,1.060500
2009-12-17,1.070300
2009-12-18,1.066000
2009-12-21,1.061400
2009-12-22,1.057900
2009-12-23,1.048400
2009-12-24,1.049900
2009-12-29,1.043800
2009-12-30,1.055300
2009-12-31,1.051000
2010-01-04,1.041400
2010-01-05,1.039000
2010-01-06,1.032500
2010-01-07,1.035000
2010-01-08,1.030900
2010-01-11,1.033500
2010-01-12,1.039300
2010-01-13,1.030600
2010-01-14,1.023400
2010-01-15,1.029400
2010-01-18,1.026500
2010-01-19,1.030700
2010-01-20,1.047000
2010-01-21,1.051400
2010-01-22,1.058100
2010-01-25,1.058100
2010-01-26,1.062500
2010-01-27,1.064700
2010-01-28,1.066200
2010-01-29,1.069300
2010-02-01,1.062400
2010-02-02,1.058100
2010-02-03,1.062400
2010-02-04,1.072700
2010-02-05,1.070000
2010-02-08,1.074500
2010-02-09,1.067900
2010-02-10,1.063000
2010-02-11,1.051200
2010-02-12,1.051700
2010-02-15,1.049000
2010-02-16,1.043500
2010-02-17,1.045200
2010-02-18,1.041400
2010-02-19,1.040500
2010-02-22,1.042600
2010-02-23,1.056600
2010-02-24,1.054000
2010-02-25,1.059300
2010-02-26,1.052500
2010-03-01,1.041600
2010-03-02,1.036500
2010-03-03,1.032000
2010-03-04,1.030600
2010-03-05,1.030500
2010-03-08,1.027600
2010-03-09,1.026400
2010-03-10,1.025900
2010-03-11,1.024300
2010-03-12,1.018300
2010-03-15,1.019700
2010-03-16,1.014000
2010-03-17,1.010300
2010-03-18,1.013700
2010-03-19,1.016400
2010-03-22,1.018800
2010-03-23,1.016100
2010-03-24,1.025300
2010-03-25,1.024800
2010-03-26,1.026700
2010-03-29,1.020700
2010-03-30,1.019500
2010-03-31,1.015800
2010-04-01,1.008400
2010-04-05,1.002800
2010-04-06,1.001200
2010-04-07,1.005100
2010-04-08,1.002800
2010-04-09,1.004000
2010-04-12,1.003300
2010-04-13,1.001900
2010-04-14,0.999200
2010-04-15,1.003300
2010-04-16,1.013200
2010-04-19,1.014800
2010-04-20,0.998800
2010-04-21,0.999200
2010-04-22,1.000000
2010-04-23,0.999100
2010-04-26,1.001400
2010-04-27,1.017600
2010-04-28,1.008800
2010-04-29,1.005400
2010-04-30,1.015800
2010-05-03,1.010600
2010-05-04,1.025000
2010-05-05,1.029700
2010-05-06,1.052300
2010-05-07,1.043800
2010-05-10,1.024300
2010-05-11,1.021800
2010-05-12,1.019800
2010-05-13,1.020500
2010-05-14,1.031700
2010-05-17,1.033700
2010-05-18,1.037000
2010-05-19,1.044200
2010-05-20,1.067800
2010-05-21,1.059300
2010-05-25,1.070000
2010-05-26,1.068600
2010-05-27,1.050000
2010-05-28,1.052000
2010-05-31,1.043500
2010-06-01,1.054000
2010-06-02,1.038400
2010-06-03,1.041200
2010-06-04,1.060700
2010-06-07,1.060200
2010-06-08,1.048500
2010-06-09,1.044300
2010-06-10,1.031200
2010-06-11,1.033800
2010-06-14,1.032500
2010-06-15,1.025100
2010-06-16,1.025400
2010-06-17,1.027000
2010-06-18,1.021200
2010-06-21,1.024400
2010-06-22,1.029100
2010-06-23,1.038400
2010-06-24,1.043700
2010-06-25,1.035900
2010-06-28,1.035800
2010-06-29,1.055300
2010-06-30,1.064600
2010-07-02,1.062400
2010-07-05,1.065000
2010-07-06,1.055700
2010-07-07,1.047800
2010-07-08,1.044000
2010-07-09,1.033700
2010-07-12,1.037500
2010-07-13,1.033700
2010-07-14,1.034100
2010-07-15,1.038800
2010-07-16,1.054600
2010-07-19,1.054900
2010-07-20,1.044800
2010-07-21,1.047700
2010-07-22,1.039300
2010-07-23,1.036100
2010-07-26,1.032400
2010-07-27,1.036200
2010-07-28,1.038500
2010-07-29,1.036200
2010-07-30,1.028300
2010-08-03,1.023900
2010-08-04,1.017600
